id,time,label,type
annoy 1,26,0,Angry
annoy 1,27,0,Angry
annoy 1,28,0,Angry
annoy 1,29,0,Angry
annoy 1,36,0,Angry
annoy 1,39,0,Angry
annoy 1,40,0,Angry
annoy 1,53,0,Angry
annoy 1,56,0,Angry
annoy 1,62,0,Angry
annoy 1,70,1,Happy
annoy 1,71,1,Happy
annoy 1,85,0,Sad
annoy 1,86,0,Sad
annoy 1,87,0,Angry
annoy 1,88,0,Angry
annoy 1,89,0,Angry
annoy 1,90,0,Angry
annoy 1,91,0,Angry
annoy 1,95,0,Angry
annoy 1,96,0,Angry
annoy 1,97,0,Angry
annoy 1,98,0,Angry
annoy 1,99,0,Angry
annoy 1,100,0,Angry
annoy 1,101,0,Angry
annoy 1,104,0,Angry
annoy 1,105,0,Angry
annoy 1,106,0,Angry
annoy 1,107,0,Angry
annoy 1,108,0,Angry
annoy 1,109,0,Angry
annoy 1,127,0,Angry
annoy 1,128,0,Angry
annoy 1,140,1,Happy
annoy 1,142,0,Angry
annoy 1,144,0,Angry
annoy 1,145,0,Angry
annoy 1,146,0,Angry
annoy 1,147,0,Angry
